ano,uf,genero,mes,numero,Região
2015,Acre,Masculino,Abril,0,Norte
2015,Acre,Masculino,Março,0,Norte
2015,Acre,Masculino,Fevereiro,0,Norte
2015,Acre,Masculino,Janeiro,0,Norte
2015,Rondônia,Masculino,Dezembro,1,Norte
2015,Rondônia,Masculino,Novembro,0,Norte
2015,Rondônia,Masculino,Outubro,0,Norte
2015,Rondônia,Masculino,Setembro,0,Norte
2015,Pará,Masculino,Agosto,3,Norte
2015,Pará,Masculino,Julho,1,Norte
2015,Pará,Masculino,Junho,11,Norte
2015,Pará,Masculino,Maio,11,Norte
2015,Pará,Masculino,Abril,3,Norte
2015,Pará,Masculino,Março,2,Norte
2015,Pará,Masculino,Fevereiro,1,Norte
2015,Pará,Masculino,Janeiro,3,Norte
2015,Amapá,Masculino,Abril,0,Norte
2015,Amapá,Masculino,Março,1,Norte
2015,Amapá,Masculino,Fevereiro,1,Norte
2015,Amapá,Masculino,Janeiro,0,Norte
2015,Pará,Masculino,Dezembro,15,Norte
2015,Pará,Masculino,Novembro,3,Norte
2015,Pará,Masculino,Outubro,2,Norte
2015,Pará,Masculino,Setembro,0,Norte
2015,Roraima,Masculino,Abril,0,Norte
2015,Roraima,Masculino,Março,0,Norte
2015,Roraima,Masculino,Fevereiro,0,Norte
2015,Roraima,Masculino,Janeiro,0,Norte
2015,Amazonas,Masculino,Dezembro,5,Norte
2015,Amazonas,Masculino,Novembro,3,Norte
2015,Amazonas,Masculino,Outubro,4,Norte
2015,Acre,Masculino,Maio,0,Norte
2015,Maranhão,Masculino,Dezembro,10,Nordeste
2015,Maranhão,Masculino,Novembro,4,Nordeste
2015,Maranhão,Masculino,Outubro,6,Nordeste
2015,Maranhão,Masculino,Setembro,2,Nordeste
2015,Maranhão,Masculino,Agosto,1,Nordeste
2015,Maranhão,Masculino,Julho,6,Nordeste
2015,Maranhão,Masculino,Junho,2,Nordeste
2015,Maranhão,Masculino,Maio,1,Nordeste
2015,Maranhão,Masculino,Abril,5,Nordeste
2015,Maranhão,Masculino,Março,1,Nordeste
2015,Maranhão,Masculino,Fevereiro,4,Nordeste
2015,Maranhão,Masculino,Janeiro,8,Nordeste
2015,Tocantins,Masculino,Dezembro,0,Norte
2015,Tocantins,Masculino,Novembro,1,Norte
2015,Tocantins,Masculino,Outubro,0,Norte
2015,Tocantins,Masculino,Setembro,0,Norte
2015,Ceará,Masculino,Abril,16,Nordeste
2015,Ceará,Masculino,Março,11,Nordeste
2015,Ceará,Masculino,Fevereiro,25,Nordeste
2015,Ceará,Masculino,Janeiro,17,Nordeste
2015,Piauí,Masculino,Dezembro,0,Nordeste
2015,Piauí,Masculino,Novembro,0,Nordeste
2015,Piauí,Masculino,Outubro,0,Nordeste
2015,Piauí,Masculino,Setembro,1,Nordeste
2015,Piauí,Masculino,Agosto,1,Nordeste
2015,Piauí,Masculino,Julho,2,Nordeste
2015,Piauí,Masculino,Junho,0,Nordeste
2015,Piauí,Masculino,Maio,2,Nordeste
2015,Piauí,Masculino,Abril,1,Nordeste
2015,Piauí,Masculino,Março,0,Nordeste
2015,Piauí,Masculino,Fevereiro,0,Nordeste
2015,Piauí,Masculino,Janeiro,0,Nordeste
2015,Rio Grande do Norte,Masculino,Agosto,1,Nordeste
2015,Rio Grande do Norte,Masculino,Julho,1,Nordeste
2015,Rio Grande do Norte,Masculino,Junho,0,Nordeste
2015,Rio Grande do Norte,Masculino,Maio,0,Nordeste
2015,Rio Grande do Norte,Masculino,Abril,0,Nordeste
2015,Rio Grande do Norte,Masculino,Março,3,Nordeste
2015,Rio Grande do Norte,Masculino,Fevereiro,1,Nordeste
2015,Rio Grande do Norte,Masculino,Janeiro,0,Nordeste
2015,Ceará,Masculino,Dezembro,25,Nordeste
2015,Ceará,Masculino,Novembro,21,Nordeste
2015,Ceará,Masculino,Outubro,16,Nordeste
