ano,genero,mes,numero,uf_id,data,data_ordinal
2015,0,4,0,12,2015-04-01,735689
2015,0,3,0,12,2015-03-01,735658
2015,0,2,0,12,2015-02-01,735630
2015,0,1,0,12,2015-01-01,735599
2015,0,12,1,11,2015-12-01,735933
2015,0,11,0,11,2015-11-01,735903
2015,0,10,0,11,2015-10-01,735872
2015,0,9,0,11,2015-09-01,735842
2015,0,8,3,15,2015-08-01,735811
2015,0,7,1,15,2015-07-01,735780
2015,0,6,11,15,2015-06-01,735750
2015,0,5,11,15,2015-05-01,735719
2015,0,4,3,15,2015-04-01,735689
2015,0,3,2,15,2015-03-01,735658
2015,0,2,1,15,2015-02-01,735630
2015,0,1,3,15,2015-01-01,735599
2015,0,4,0,16,2015-04-01,735689
2015,0,3,1,16,2015-03-01,735658
2015,0,2,1,16,2015-02-01,735630
2015,0,1,0,16,2015-01-01,735599
2015,0,12,15,15,2015-12-01,735933
2015,0,11,3,15,2015-11-01,735903
2015,0,10,2,15,2015-10-01,735872
2015,0,9,0,15,2015-09-01,735842
2015,0,4,0,14,2015-04-01,735689
2015,0,3,0,14,2015-03-01,735658
2015,0,2,0,14,2015-02-01,735630
2015,0,1,0,14,2015-01-01,735599
2015,0,12,5,13,2015-12-01,735933
2015,0,11,3,13,2015-11-01,735903
2015,0,10,4,13,2015-10-01,735872
2015,0,5,0,12,2015-05-01,735719
2015,0,12,10,21,2015-12-01,735933
2015,0,11,4,21,2015-11-01,735903
2015,0,10,6,21,2015-10-01,735872
2015,0,9,2,21,2015-09-01,735842
2015,0,8,1,21,2015-08-01,735811
2015,0,7,6,21,2015-07-01,735780
2015,0,6,2,21,2015-06-01,735750
2015,0,5,1,21,2015-05-01,735719
2015,0,4,5,21,2015-04-01,735689
2015,0,3,1,21,2015-03-01,735658
2015,0,2,4,21,2015-02-01,735630
2015,0,1,8,21,2015-01-01,735599
2015,0,12,0,17,2015-12-01,735933
2015,0,11,1,17,2015-11-01,735903
2015,0,10,0,17,2015-10-01,735872
2015,0,9,0,17,2015-09-01,735842
2015,0,4,16,23,2015-04-01,735689
2015,0,3,11,23,2015-03-01,735658
2015,0,2,25,23,2015-02-01,735630
2015,0,1,17,23,2015-01-01,735599
2015,0,12,0,22,2015-12-01,735933
2015,0,11,0,22,2015-11-01,735903
2015,0,10,0,22,2015-10-01,735872
2015,0,9,1,22,2015-09-01,735842
2015,0,8,1,22,2015-08-01,735811
2015,0,7,2,22,2015-07-01,735780
2015,0,6,0,22,2015-06-01,735750
2015,0,5,2,22,2015-05-01,735719
2015,0,4,1,22,2015-04-01,735689
2015,0,3,0,22,2015-03-01,735658
2015,0,2,0,22,2015-02-01,735630
2015,0,1,0,22,2015-01-01,735599
2015,0,8,1,24,2015-08-01,735811
2015,0,7,1,24,2015-07-01,735780
2015,0,6,0,24,2015-06-01,735750
2015,0,5,0,24,2015-05-01,735719
2015,0,4,0,24,2015-04-01,735689
2015,0,3,3,24,2015-03-01,735658
2015,0,2,1,24,2015-02-01,735630
2015,0,1,0,24,2015-01-01,735599
2015,0,12,25,23,2015-12-01,735933
2015,0,11,21,23,2015-11-01,735903
2015,0,10,16,23,2015-10-01,735872
2015,0,9,25,23,2015-09-01,735842
2015,0,8,17,23,2015-08-01,735811
2015,0,7,26,23,2015-07-01,735780
2015,0,6,29,23,2015-06-01,735750
2015,0,5,18,23,2015-05-01,735719
2015,0,12,4,25,2015-12-01,735933
2015,0,11,3,25,2015-11-01,735903
2015,0,10,2,25,2015-10-01,735872
2015,0,9,2,25,2015-09-01,735842
2015,0,8,0,25,2015-08-01,735811
2015,0,7,1,25,2015-07-01,735780
2015,0,6,2,25,2015-06-01,735750
2015,0,5,1,25,2015-05-01,735719
2015,0,4,0,25,2015-04-01,735689
2015,0,3,2,25,2015-03-01,735658
2015,0,2,0,25,2015-02-01,735630
2015,0,1,1,25,2015-01-01,735599
2015,0,12,4,24,2015-12-01,735933
2015,0,11,2,24,2015-11-01,735903
2015,0,10,2,24,2015-10-01,735872
2015,0,9,3,24,2015-09-01,735842
2015,0,4,0,27,2015-04-01,735689
2015,0,3,1,27,2015-03-01,735658
2015,0,2,0,27,2015-02-01,735630
2015,0,1,4,27,2015-01-01,735599
2015,0,12,11,26,2015-12-01,735933
