ano,genero,mes,numero,uf_id,data,data_ordinal
2015,0,8,17,33,2015-08-01,735811
2015,0,7,20,33,2015-07-01,735780
2015,0,6,23,33,2015-06-01,735750
2015,0,5,16,33,2015-05-01,735719
2015,0,4,23,33,2015-04-01,735689
2015,0,3,18,33,2015-03-01,735658
2015,0,2,14,33,2015-02-01,735630
2015,0,1,11,33,2015-01-01,735599
2015,0,11,32,33,2015-11-01,735903
2015,0,10,23,33,2015-10-01,735872
2015,0,9,26,33,2015-09-01,735842
2015,1,4,15,33,2015-04-01,735689
2015,1,3,23,33,2015-03-01,735658
2015,1,2,23,33,2015-02-01,735630
2015,1,1,13,33,2015-01-01,735599
2015,1,11,27,33,2015-11-01,735903
2015,1,10,20,33,2015-10-01,735872
2015,1,9,26,33,2015-09-01,735842
2015,1,8,13,33,2015-08-01,735811
2015,1,7,26,33,2015-07-01,735780
2015,1,6,26,33,2015-06-01,735750
2015,1,5,18,33,2015-05-01,735719
2016,0,8,27,33,2016-08-01,736177
2016,0,7,19,33,2016-07-01,736146
2016,0,6,24,33,2016-06-01,736116
2016,0,5,24,33,2016-05-01,736085
2016,0,4,32,33,2016-04-01,736055
2016,0,3,22,33,2016-03-01,736024
2016,0,2,27,33,2016-02-01,735995
2016,0,1,14,33,2016-01-01,735964
2016,0,12,15,33,2016-12-01,736299
2016,0,11,19,33,2016-11-01,736269
2016,0,10,26,33,2016-10-01,736238
2016,0,9,26,33,2016-09-01,736208
2016,1,12,27,33,2016-12-01,736299
2016,1,11,27,33,2016-11-01,736269
2016,1,10,27,33,2016-10-01,736238
2016,1,9,34,33,2016-09-01,736208
2016,1,8,18,33,2016-08-01,736177
2016,1,7,27,33,2016-07-01,736146
2016,1,6,20,33,2016-06-01,736116
2016,1,5,32,33,2016-05-01,736085
2016,1,4,21,33,2016-04-01,736055
2016,1,3,24,33,2016-03-01,736024
2016,1,2,21,33,2016-02-01,735995
2016,1,1,25,33,2016-01-01,735964
2017,1,12,26,33,2017-12-01,736664
2017,1,11,22,33,2017-11-01,736634
2017,1,10,29,33,2017-10-01,736603
2017,1,9,29,33,2017-09-01,736573
2017,1,8,31,33,2017-08-01,736542
2017,1,7,24,33,2017-07-01,736511
2017,1,6,20,33,2017-06-01,736481
2017,1,5,23,33,2017-05-01,736450
2017,1,4,26,33,2017-04-01,736420
2017,1,3,30,33,2017-03-01,736389
2017,1,2,17,33,2017-02-01,736361
2017,1,1,22,33,2017-01-01,736330
2017,0,12,25,33,2017-12-01,736664
2017,0,11,21,33,2017-11-01,736634
2017,0,10,21,33,2017-10-01,736603
2017,0,9,22,33,2017-09-01,736573
2017,0,8,11,33,2017-08-01,736542
2017,0,7,11,33,2017-07-01,736511
2017,0,6,17,33,2017-06-01,736481
2017,0,5,23,33,2017-05-01,736450
2017,0,4,10,33,2017-04-01,736420
2017,0,3,16,33,2017-03-01,736389
2017,0,2,14,33,2017-02-01,736361
2017,0,1,18,33,2017-01-01,736330
2018,1,1,25,33,2018-01-01,736695
2018,1,2,14,33,2018-02-01,736726
2018,1,3,33,33,2018-03-01,736754
2018,1,4,24,33,2018-04-01,736785
2018,1,5,21,33,2018-05-01,736815
2018,1,6,23,33,2018-06-01,736846
2018,1,7,24,33,2018-07-01,736876
2018,1,8,32,33,2018-08-01,736907
2018,1,9,29,33,2018-09-01,736938
2018,1,10,35,33,2018-10-01,736968
2018,1,11,37,33,2018-11-01,736999
2018,0,5,22,33,2018-05-01,736815
2018,0,6,20,33,2018-06-01,736846
2018,0,7,26,33,2018-07-01,736876
2018,0,8,24,33,2018-08-01,736907
2018,0,9,20,33,2018-09-01,736938
2018,0,10,32,33,2018-10-01,736968
2018,0,11,28,33,2018-11-01,736999
2018,0,1,20,33,2018-01-01,736695
2018,0,2,27,33,2018-02-01,736726
2018,0,3,21,33,2018-03-01,736754
2018,0,4,17,33,2018-04-01,736785
2019,0,12,27,33,2019-12-01,737394
2019,0,11,25,33,2019-11-01,737364
2019,0,10,27,33,2019-10-01,737333
2019,0,9,30,33,2019-09-01,737303
2019,0,8,29,33,2019-08-01,737272
2019,0,7,24,33,2019-07-01,737241
2019,0,6,28,33,2019-06-01,737211
2019,0,5,35,33,2019-05-01,737180
2019,0,4,30,33,2019-04-01,737150
2019,0,3,44,33,2019-03-01,737119
2019,1,12,45,33,2019-12-01,737394
2019,1,11,40,33,2019-11-01,737364
2019,1,10,43,33,2019-10-01,737333
2019,1,9,30,33,2019-09-01,737303
2019,1,8,25,33,2019-08-01,737272
2019,1,7,26,33,2019-07-01,737241
2019,1,6,33,33,2019-06-01,737211
2020,1,8,11,33,2020-08-01,737638
2020,1,7,17,33,2020-07-01,737607
2020,1,6,16,33,2020-06-01,737577
